modularity_class,Degree_mean,Degree_var,betweenesscentrality_mean,betweenesscentrality_var,clusteringcoefficient_mean,clusteringcoefficient_var,communitysize
819,1,0,0,0,0,0,2588
820,1,0,0,0,0,0,2589
821,1,0,0,0,0,0,2590
822,1,0,0,0,0,0,2591
823,1,0,0,0,0,0,2592
824,1,0,0,0,0,0,2593
825,1,0,0,0,0,0,2594
826,1,0,0,0,0,0,2595
827,2.666666667,1.333333333,0.666666667,1.333333333,0,0,400
828,1,0,0,0,0,0,2596
829,2,1,0.333333333,0.333333333,0,0,2294
830,1,0,0,0,0,0,2597
831,1,0,0,0,0,0,2598
832,1,0,0,0,0,0,2599
833,1,0,0,0,0,0,2600
834,1,0,0,0,0,0,2602
835,1,0,0,0,0,0,2604
836,1,0,0,0,0,0,2605
837,1,0,0,0,0,0,2606
838,2,0,0,0,0,0,2607
839,1,0,0,0,0,0,2608
840,1.333333333,0.333333333,0.333333333,0.333333333,0,0,2609
841,1,0,0,0,0,0,2610
842,1.6,1.8,0,0,0,0,2547
843,1,0,0,0,0,0,2611
844,1,0,0,0,0,0,2612
845,1,0,0,0,0,0,2613
846,1,0,0,0,0,0,2614
847,2,2,0.75,2.25,0,0,1498
848,1,0,0,0,0,0,2615
849,1,0,0,0,0,0,2616
850,1,0,0,0,0,0,2617
851,1,0,0,0,0,0,2618
852,1,0,0,0,0,0,2619
853,1,0,0,0,0,0,2620
854,1,0,0,0,0,0,2621
855,1.333333333,0.333333333,0,0,0,0,2628
856,1,0,0,0,0,0,2622
857,1,0,0,0,0,0,2623
858,1,0,0,0,0,0,2625
859,2,1,0.333333333,0.333333333,0,0,1033
860,1,0,0,0,0,0,2626
861,1.333333333,0.333333333,0.333333333,0.333333333,0,0,2627
862,1,0,0,0,0,0,2629
863,1,0,0,0,0,0,2630
864,1,0,0,0,0,0,2631
865,2,0,0,0,0,0,2632
866,2,0,0,0,0,0,2633
867,1.333333333,0.333333333,0,0,0,0,2634
868,1,0,0,0,0,0,2635
869,1,0,0,0,0,0,2636
870,1,0,0,0,0,0,2638
871,2,0,0,0,0,0,2639
872,1,0,0,0,0,0,2640
873,1,0,0,0,0,0,2641
874,2,0,0,0,0,0,2642
875,1,0,0,0,0,0,2643
876,1,0,0,0,0,0,2644
877,2,0,0,0,0,0,2645
878,2,0,0,0,0,0,2646
879,2,0,0,0,0,0,2647
880,2,0,0,0,0,0,2648
881,1,0,0,0,0,0,2649
882,1,0,0,0,0,0,2650
883,3.5,3,0.5,1,0.58333325,0.250000056,2105
884,2.666666667,1.333333333,0.666666667,1.333333333,0,0,1553
885,1,0,0,0,0,0,2651
886,1.333333333,0.333333333,0.333333333,0.333333333,0,0,2652
887,1,0,0,0,0,0,2653
888,1,0,0,0,0,0,2654
889,1,0,0,0,0,0,2656
890,1,0,0,0,0,0,2657
891,1.333333333,0.333333333,0,0,0,0,2658
892,1,0,0,0,0,0,2659
893,2,0,0,0,0,0,2660
894,1,0,0,0,0,0,2661
895,1.333333333,0.333333333,0,0,0,0,2655
896,1.333333333,0.333333333,0,0,0,0,2662
897,1,0,0,0,0,0,2663
898,1,0,0,0,0,0,2665
899,2,0,0,0,0,0,2666
900,2,0,0,0,0,0,2667
901,1,0,0,0,0,0,2669
902,1,0,0,0,0,0,2670
903,1,0,0,0,0,0,2671
904,1,0,0,0,0,0,2672
905,6.849056604,161.7844702,35177.04962,2.10E+10,0.247784774,0.118074849,708.2075472
906,2,0,0,0,0,0,2673
907,1,0,0,0,0,0,2675
908,1,0,0,0,0,0,2676
909,1,0,0,0,0,0,2677
910,1,0,0,0,0,0,2678
911,1,0,0,0,0,0,2679
912,1,0,0,0,0,0,2680
913,1,0,0,0,0,0,2681
914,1,0,0,0,0,0,2682
915,1,0,0,0,0,0,2683
916,1,0,0,0,0,0,2684
917,1,0,0,0,0,0,2685
918,1,0,0,0,0,0,2687
919,2,0,0,0,0,0,2688
920,2,2,0.5,1,0,0,448
921,1,0,0,0,0,0,2689
922,1,0,0,0,0,0,2690
923,1,0,0,0,0,0,2691
924,1.333333333,0.333333333,0,0,0,0,2692
925,2,0,0,0,0,0,2693
926,2,0,0,0,0,0,2695
927,2,0,0,0,0,0,2696
928,1,0,0,0,0,0,2697
929,2.666666667,1.333333333,0.666666667,1.333333333,0,0,2698
930,1,0,0,0,0,0,2699
931,1,0,0,0,0,0,2701
932,2,0,0,0,0,0,2702
933,1,0,0,0,0,0,2703
934,1.333333333,0.333333333,0,0,0,0,2700
935,2,0,0,0,0,0,2705
936,1,0,0,0,0,0,2706
937,2,0,0,0,0,0,2707
938,1,0,0,0,0,0,2708
939,1,0,0,0,0,0,2709
940,1.333333333,0.333333333,0,0,0,0,2710
941,1,0,0,0,0,0,2711
942,1,0,0,0,0,0,2712
943,1,0,0,0,0,0,2713
944,2.666666667,1.333333333,0.666666667,1.333333333,0,0,2624
945,2,0,0,0,0,0,2714
946,2,0,0,0,0,0,2715
947,2.666666667,1.333333333,0.666666667,1.333333333,0,0,2065
948,1,0,0,0,0,0,2717
949,1,0,0,0,0,0,2718
950,1,0,0,0,0,0,2719
951,1,0,0,0,0,0,2720
952,1,0,0,0,0,0,2721
953,1,0,0,0,0,0,2722
954,2,0,0,0,0,0,2723
955,1,0,0,0,0,0,2724
956,1,0,0,0,0,0,2725
957,1,0,0,0,0,0,2726
958,1,0,0,0,0,0,2727
959,1,0,0,0,0,0,2728
960,1,0,0,0,0,0,2729
961,1,0,0,0,0,0,2730
962,1,0,0,0,0,0,2731
963,1,0,0,0,0,0,2732
964,2,0,0,0,0,0,2733
965,1,0,0,0,0,0,2734
966,1,0,0,0,0,0,2735
967,1,0,0,0,0,0,2736
968,1,0,0,0,0,0,2737
969,1,0,0,0,0,0,2738
970,1,0,0,0,0,0,2739
971,0,,0,,0,,2740
972,0,,0,,0,,2741
973,0,,0,,0,,2742
974,0,,0,,0,,2743
975,0,,0,,0,,2744
976,0,,0,,0,,2745
977,0,,0,,0,,2746
978,0,,0,,0,,2747
979,0,,0,,0,,2748
980,0,,0,,0,,2749
981,0,,0,,0,,2750
982,0,,0,,0,,2751
983,0,,0,,0,,2752
984,0,,0,,0,,2753
985,0,,0,,0,,2754
986,0,,0,,0,,2755
987,0,,0,,0,,2756
988,0,,0,,0,,2757
989,0,,0,,0,,2758
990,0,,0,,0,,2759
991,0,,0,,0,,2760
992,0,,0,,0,,2761
993,0,,0,,0,,2762
994,0,,0,,0,,2763
995,0,,0,,0,,2764
996,0,,0,,0,,2765
997,0,,0,,0,,2766
998,0,,0,,0,,2767
999,0,,0,,0,,2768
1000,0,,0,,0,,2769
1001,0,,0,,0,,2770
1002,0,,0,,0,,2771
1003,0,,0,,0,,2772
1004,0,,0,,0,,2773
1005,0,,0,,0,,2774
1006,0,,0,,0,,2775
1007,0,,0,,0,,2776
1008,0,,0,,0,,2777
1009,0,,0,,0,,2778
1010,0,,0,,0,,2779
1011,0,,0,,0,,2780
1012,0,,0,,0,,2781
1013,0,,0,,0,,2782
1014,0,,0,,0,,2783
1015,0,,0,,0,,2784
1016,0,,0,,0,,2785
1017,0,,0,,0,,2786
1018,0,,0,,0,,2787
1019,0,,0,,0,,2788
1020,0,,0,,0,,2789
1021,0,,0,,0,,2790
1022,0,,0,,0,,2791
1023,0,,0,,0,,2792
1024,0,,0,,0,,2793
1025,0,,0,,0,,2794
1026,0,,0,,0,,2795
1027,0,,0,,0,,2796
1028,0,,0,,0,,2797
1029,0,,0,,0,,2798
1030,0,,0,,0,,2799
1031,0,,0,,0,,2800
1032,0,,0,,0,,2801
1033,0,,0,,0,,2802
1034,0,,0,,0,,2803
1035,0,,0,,0,,2804
1036,0,,0,,0,,2805
1037,0,,0,,0,,2806
1038,0,,0,,0,,2807
1039,0,,0,,0,,2808
1040,0,,0,,0,,2809
1041,0,,0,,0,,2810
1042,0,,0,,0,,2811
1043,0,,0,,0,,2812
1044,0,,0,,0,,2813
1045,0,,0,,0,,2814
1046,0,,0,,0,,2815
1047,0,,0,,0,,2816
1048,0,,0,,0,,2817
1049,0,,0,,0,,2818
1050,0,,0,,0,,2819
1051,0,,0,,0,,2820
1052,0,,0,,0,,2821
1053,0,,0,,0,,2822
